palavra,frequência,tipo,Validação,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Total,NOVO
system,16,N,TRUE,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,,FALSE
website,16,N,TRUE,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,,FALSE
add,15,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,FALSE
read,15,V,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,FALSE
report,15,N,TRUE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,FALSE
deposit,14,V,FALSE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,FALSE
trainer,14,N,FALSE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,FALSE
estimate,14,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
camp,14,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
group,14,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
request,14,N,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,FALSE
researcher,14,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
update,14,V,TRUE,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,FALSE
include,13,V,FALSE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,FALSE
change,13,V,TRUE,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,FALSE
metadata,13,N,TRUE,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,,FALSE
post,13,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,,FALSE
session,13,N,TRUE,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,,FALSE
submit,13,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,,FALSE
take,13,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
understand,13,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
assign,12,V,TRUE,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,FALSE
schedule,12,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,,FALSE
analysis,12,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
provide,12,V,FALSE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,FALSE
service,12,N,FALSE,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,,FALSE
maintain,12,V,TRUE,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,FALSE
plan,12,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
